"referencia","descr_produto","QTD Vendida","tipo_evento","essential_Y_N","tipo_colecao"
S58649881,SCARPIN TACHAS OFF WHITE,163,VERÃO 2026,Não,V26
S586A3724,SANDÁLIA MACRAMÊ DOURADO,160,VERÃO 2026,Não,V26
S5869T724,SANDÁLIA TIRAS DOURADO,156,VERÃO 2026,Não,V26
S5864P724,TAMANCO RECORTES DOURADO,155,VERÃO 2026,Não,V26
S58658881,RASTEIRA FLOR OFF WHITE,155,VERÃO 2026,Não,V26
S5869X044,RASTEIRA NÓ PRATA VELHO,151,VERÃO 2026,Não,V26
S58640881,PAPETE TACHAS OFF WHITE,149,VERÃO 2026,Não,V26
S586AE724,TÊNIS JOGGING DOURADO,149,VERÃO 2026,Não,V26
S5866X010,SANDÁLIA RÁFIA BEGE,148,VERÃO 2026,Não,V26
S58664170,RASTEIRA ENFEITES E TACHAS MARROM,148,VERÃO 2026,Não,V26
S5866G881,RASTEIRA ENFEITE OFF WHITE,148,VERÃO 2026,Não,V26
S5867C881,RASTEIRA TACHAS OFF WHITE,147,VERÃO 2026,Não,V26
S5868P012,RASTEIRA STRASS CARAMELO,146,VERÃO 2026,Não,V26
S58693724,SANDÁLIA MEIA PATA DOURADO,144,VERÃO 2026,Não,V26
S5867M881,TÊNIS TELA OFF WHITE,143,VERÃO 2026,Não,V26
S5864D724,TAMANCO MEIA ESFERAS DOURADO,142,VERÃO 2026,Não,V26
S5864O012,SCARPIN ENFEITE CARAMELO,142,VERÃO 2026,Não,V26
S5864T002,RASTEIRA ENFEITE QUADRADO PRETO,142,VERÃO 2026,Não,V26
S5867P002,PAPETE AMARRAÇÃO PRETO,140,VERÃO 2026,Não,V26
C5868Q881,TAMANCO RECORTES OFF WHITE,138,VERÃO 2026,Não,V26
S5869J012,SANDÁLIA FIVELA CARAMELO,138,VERÃO 2026,Não,V26
S5869Z881,SANDÁLIA SALTO CROMADO OFF WHITE,134,VERÃO 2026,Não,V26
S5864K012,SCARPIN FIVELAS CALCE FÁCIL CARAMELO,133,VERÃO 2026,Não,V26
S5864O002,SCARPIIN ENFEITE PRETO,133,VERÃO 2026,Não,V26
S5864T010,RASTEIRA ENFEITES QUADRADOS BEGE,131,VERÃO 2026,Não,V26
S58697881,SAPATILHA BONECA PEDRARIA OFF WHITE,130,VERÃO 2026,Não,V26
S5868T012,RASTEIRA PEDRAS CARAMELO,130,VERÃO 2026,Não,V26
